index,text,Diacterized,Buckwalter,Cleaned_Text
12429,وثانيا بقى,وَثانيًا بَقَّى,wavAnyFA baq~aY,wthanya bqa
12430,ليه ماكرون مصمم على إصلاح منظومة المعاشات,ليهْ ماكَرونَ مُصَمِّمٌ عَلَى إِصْلاحِ مَنْظومَةِ المَعاشاتِ,lyho mAkarwna muSam~imN EalaY <iSolAHi manoZwmapi AlmaEA$Ati,lyh makrwn musmm ela islah mnzwmt almeashat
12431,مهما كان التمن ,مَهْما كانَ التَّمَنَّ,mahomA kAna Alt~aman~a,mhma kan altmn
12432,إيه هي الفوائد الاقتصادية اللي هتعود على البلد ,إيهْ هيَ الفَوائِدُ الِاقْتِصاديَّةُ اللّي هتعودْ عَلَى البَلَدِ,<yho hya AlfawA}idu AliAqotiSAdy~apu All~y htEwdo EalaY Albaladi,iyh hy alfwaydu alaqtsadytu ally htewd ela albld
12433,وهل فيه فوائد اقتصادية أصلا من الخطة دي ,وَهَلْ فيهِ فَوائِدُ اقْتِصاديَّةٌ أَصْلًا مِنْ الخُطَّةِ دي,wahalo fyhi fawA}idu AqotiSAdy~apN >aSolFA mino AlxuT~api dy,whl fyh fwaydu aqtsadyt asla mn alkhutt dy
12434,وبعدين هل فعلا الإصلاح,وَبَعْدَيْنِ هَلْ فِعْلًا الإِصْلاحَ,wabaEodayoni halo fiEolFA Al<iSolAHa,wbedyn hl fela alislah
12435, اللي بتقترحه الحكومة الفرنسية,اللّي بِتَقْتَرِحْهُ الحُكومَةُ الفَرَنْسيَّةُ,All~y bitaqotariHohu AlHukwmapu Alfaranosy~apu,ally btqtrhhu alhukwmtu alfrnsytu
12436,لو ما تمش منظومة المعاشات في فرنسا هتنهار ,لَوْ ما تَمَشَ مَنْظومَةَ المَعاشاتِ في فَرَنْسا هتنهارْ,lawo mA tama$a manoZwmapa AlmaEA$Ati fy faranosA htnhAro,lw ma tmsh mnzwmt almeashat fy frnsa htnhar
12437,والسؤال الأهم بقى,والسُّؤالُ الأَهَمُّ بَقَّى,wAls~u&Alu Al>aham~u baq~aY,walsuwalu alahmu bqa
12438, إيه علاقة رفع سن التقاعد في فرنسا بديونها ,إيهْ عَلاقَةٍ رَفْعَ سِنِّ التَّقاعُدِ في فَرَنْسا بِدُيونِها,<yho EalAqapK rafoEa sin~i Alt~aqAEudi fy faranosA biduywnihA,iyh elaqt rfe sn altqaeud fy frnsa bduywnha
12439,دا جزء من اللي هندردش فيه مع بعض,دا جُزْءٌ مِنْ اللّيَّ هندردشْ فيهِ مَعَ بَعْضِ,dA juzo'N mino All~y~a hndrd$o fyhi maEa baEoDi,da juze mn ally hndrdsh fyh me bed
12440,في حلقة النهار دا,في حَلْقَةِ النَّهارِ دا,fy Haloqapi Aln~ahAri dA,fy hlqt alnhar da
12441,أنا أشرف إبراهيم,أَنا أَشْرَفُ إِبْراهيمَ,>anA >a$orafu <iborAhyma,ana ashrfu ibrahym
12442, ودا المخبر الاقتصادي,وُدًّا المُخْبِرُ الِاقْتِصاديُّ,wud~FA Almuxobiru AliAqotiSAdy~u,wuda almukhbru alaqtsadyu
12443,فرنسوا متران كسب الانتخابات الرئاسية الفرنسية,فِرَنْسوا مِتْرانِ كَسْبِ الِانْتِخاباتِ الرِّئاسيَّةِ الفَرَنْسيَّةِ,firanoswA mitorAni kasobi AliAnotixAbAti Alr~i}Asy~api Alfaranosy~api,frnswa mtran ksb alantkhabat alryasyt alfrnsyt
12444,وبقى أول رئيس اشتراكي,وَبَقَّى أَوَّلُ رَئيسٍ اشْتِراكيٍّ,wabaq~aY >aw~alu ra}ysK A$otirAky~K,wbqa awlu ryys ashtraky
12445,في تاريخ الجمهورية الفرنسية الخامسة,في تاريخِ الجُمْهوريَّةِ الفَرَنْسيَّةِ الخامِسَةِ,fy tAryxi Aljumohwry~api Alfaranosy~api AlxAmisapi,fy tarykh aljumhwryt alfrnsyt alkhamst
12446,الراجل دا كانت دماغه عالية شوية وصاحب مزاج,الرّاجِلِ دا كانَتْ دِماغَهُ عاليَةٌ شِوَيَّةُ وَصاحِبُ مِزاجِ,Alr~Ajili dA kAnato dimAgahu EAlyapN $iway~apu waSAHibu mizAji,alrajl da kant dmaghhu ealyt shwytu wsahbu mzaj
12447,وبيقدس جدا وقت الفراغ,وَبيُقَدِّسْ جِدًّا وَقْتَ الفَراغِ,wabyuqad~iso jid~FA waqota AlfarAgi,wbyuqds jda wqt alfragh
12448,لدرجة إنه واحد من أول قراراته لما مسك المنصب,لِدَرَجَةِ إِنَّهُ واحِدُ مِنْ أَوَّلِ قَراراتِهِ لِما مِسْكَ المَنْصِبِ,lidarajapi <in~ahu wAHidu mino >aw~ali qarArAtihi limA misoka AlmanoSibi,ldrjt inhu wahdu mn awl qrarath lma msk almnsb
12449, هو استحداث وزارة اسمها,هوَ اسْتِحْداثُ وِزارَةِ اسْمِها,hwa AsotiHodAvu wizArapi AsomihA,hw asthdathu wzart asmha
12450,وزارة وقت الفراغ,وِزارَةُ وَقْتِ الفَراغِ,wizArapu waqoti AlfarAgi,wzartu wqt alfragh
12451,وعين ساعتها على رأسها واحد اسمه أندريه هنري,وَعُيِّنَ ساعَتَها عَلَى رَأْسِها واحِدٌ اسْمَهُ أَنْدِريهْ هِنْري,waEuy~ina sAEatahA EalaY ra>osihA wAHidN Asomahu >anodiryho hinory,weuyn saetha ela rasha wahd asmhu andryh hnry
12452,المهم ميتران لما مسك الرئاسة,المُهِمُّ ميتْرانْ لِما مِسْكَ الرِّئاسَةِ,Almuhim~u mytorAno limA misoka Alr~i}Asapi,almuhmu mytran lma msk alryast
12453,ودا كان سن قريب من السن اللي بيتقاعد فيه,وُدًّا كانَ سِنَّ قَريبٍ مِنْ السِّنِّ اللّي بيَتَقاعَدَ فيهِ,wud~FA kAna sin~a qarybK mino Als~in~i All~y byataqAEada fyhi,wuda kan sn qryb mn alsn ally bytqaed fyh
12454,الموظفين في كتير من الدول الأوروبية وقتها,الموَظَّفينَ في كِتيرْ مِنْ الدّوَلِ الأوروبّيَّةِ وَقْتَها,AlmwaZ~afyna fy kityro mino Ald~wali Al>wrwb~y~api waqotahA,almwzfyn fy ktyr mn aldwl alawrwbyt wqtha
12455,لكن متران كان شايف إن الحياة كلها مش شغل,لَكِنَّ مِتْرانِ كانَ شايِفَ إِنَّ الحَياةَ كُلِّها مَشْ شَغَلَ,lakin~a mitorAni kAna $Ayifa <in~a AlHayApa kul~ihA ma$o $agala,lkn mtran kan shayf in alhyat kulha msh shghl
12456,وإن الناس من حقها تتبسط بآخر أيامها,وَإِنْ النّاسَ مِنْ حَقِّها تَتَبَسَّطْ بِآخِرِ أَيّامِها,wa<ino Aln~Asa mino Haq~ihA tatabas~aTo bi|xiri >ay~AmihA,win alnas mn hqha ttbst bakhr ayamha
12457,وتقضيها على البحر وعلى الكنبة,وَتَقْضيها عَلَى البَحْرِ وَعَلَى الكَنْبَةِ,wataqoDyhA EalaY AlbaHori waEalaY Alkanobapi,wtqdyha ela albhr wela alknbt
12458,في البيت قدام التلفزيون,في البَيْتِ قُدّامَ التِّلِفِزْيونِ,fy Albayoti qud~Ama Alt~ilifizoywni,fy albyt qudam altlfzywn
12459,مش في المكتب ولا في المصنع,مَشْ في المَكْتَبِ وَلا في المَصْنَعِ,ma$o fy Almakotabi walA fy AlmaSonaEi,msh fy almktb wla fy almsne
12460,علشان يقدروا يسيبوا الشغل ويضمنوا المعاش بتاعهم,عَلَشانٌ يَقْدِروا يسيبوا الشُّغْلُ وَيَضْمَنوا المَعاشَ بِتاعَهُمْ,Eala$AnN yaqodirwA ysybwA Al$~ugolu wayaDomanwA AlmaEA$a bitAEahumo,elshan yqdrwa ysybwa alshughlu wydmnwa almeash btaehum
12461,بس علشان دا يحصل,بَسَّ عَلَشانِ دا يَحْصُلُ,bas~a Eala$Ani dA yaHoSulu,bs elshan da yhsulu
12462, لازم الحد الأدنى لسن التقاعد يقل,لازِمَ الحَدُّ الأَدْنَى لِسَنَّ التَّقاعُدِ يَقِلّْ,lAzima AlHad~u Al>adonaY lisan~a Alt~aqAEudi yaqil~o,lazm alhdu aladna lsn altqaeud yql
12463,بحيث فترة التقاعد تزيد,بِحَيْثُ فَتْرَةَ التَّقاعُدِ تَزيدُ,biHayovu fatorapa Alt~aqAEudi tazydu,bhythu ftrt altqaeud tzydu
12464,الراجل قال لك وماله,الرّاجِلِ قالَ لَكَ وَمالِهِ,Alr~Ajili qAla laka wamAlihi,alrajl qal lk wmalh
12465,اللي هي تاني سنة له في المنصب,اللّي هيَ تاني سَنَةً لَهُ في المَنْصِبِ,All~y hya tAny sanapF lahu fy AlmanoSibi,ally hy tany snt lhu fy almnsb
12466,متران أصدر قرار,مِتْرانِ أَصْدَرَ قَرارَ,mitorAni >aSodara qarAra,mtran asdr qrar
12467,بخفض الحد الأدنى لسن التقاعد في فرنسا,بِخَفْضِ الحَدِّ الأَدْنَى لِسَنَّ التَّقاعُدِ في فَرَنْسا,bixafoDi AlHad~i Al>adonaY lisan~a Alt~aqAEudi fy faranosA,bkhfd alhd aladna lsn altqaeud fy frnsa
12468,دا من ناحية معناه,دا مِنْ ناحيَةِ مَعْناهُ,dA mino nAHyapi maEonAhu,da mn nahyt menahu
12469,هتقدر تقعد في البيت وتاخد معاش لو حابة,هَتِقْدَرُ تَقْعُدُ في البَيْتِ وَتاخُدْ مَعاشٍ لَوْ حابَةَ,hatiqodaru taqoEudu fy Albayoti watAxudo maEA$K lawo HAbapa,htqdru tqeudu fy albyt wtakhud meash lw habt
12470,ومن ناحية تانية برضو,وَمِن ناحيَةٍ تانيةْ بِرَضَوٍ,wamin nAHyapK tAnypo biraDawK,wmn nahyt tanyt brdw
12471,معناه إن نظام المعاشات الفرنسي هيخسر,مَعْناهُ إِنَّ نِظامَ المَعاشاتِ الفَرَنْسيُّ هيخسرْ,maEonAhu <in~a niZAma AlmaEA$Ati Alfaranosy~u hyxsro,menahu in nzam almeashat alfrnsyu hykhsr
12472,خمس سنين من مساهمات الناس في دخله,خَمْسُ سِنينَ مِنْ مُساهَماتِ النّاسِ في دَخَلِهِ,xamosu sinyna mino musAhamAti Aln~Asi fy daxalihi,khmsu snyn mn musahmat alnas fy dkhlh
12473,واللى هو أصلا عبارة عن فلوس مستقطعة,واللى هوَ أَصْلًا عِبارَةً عَنْ فُلوسٌ مُسْتَقْطَعَةَ,wAllY hwa >aSolFA EibArapF Eano fulwsN musotaqoTaEapa,walla hw asla ebart en fulws mustqtet
12474,من أجور ومرتبات الموظفين على مدار حياتهم المهنية,مِنْ أُجورٍ وَمُرَتَّباتِ الموَظَّفينَ عَلَى مَدارِ حَياتِهِمْ المِهْنيَّةِ,mino >ujwrK wamurat~abAti AlmwaZ~afyna EalaY madAri HayAtihimo Almihony~api,mn aujwr wmurtbat almwzfyn ela mdar hyathm almhnyt
12475,لكن السيد متران ما كانش يفرق معه الكلام دا,لَكِنَّ السَّيِّدَ مِتْرانِ ما كانِشَ يُفَرِّقُ مَعَهُ الكَلامِ دا,lakin~a Als~ay~ida mitorAni mA kAni$a yufar~iqu maEahu AlkalAmi dA,lkn alsyd mtran ma kansh yufrqu mehu alklam da
12476,قال لك خلي الناس تفرح,قالَ لَكَ خَليٍّ النّاسَ تَفَرَّحُ,qAla laka xaly~K Aln~Asa tafar~aHu,qal lk khly alnas tfrhu
12477,المهم متران فضل يحكم فرنسا,المُهِمُّ مِتْرانِ فَضْلٍ يَحْكُمُ فَرَنْسا,Almuhim~u mitorAni faDolK yaHokumu faranosA,almuhmu mtran fdl yhkumu frnsa
12478,وطول الفترة دي,وَطولَ الفَتْرَةِ دي,waTwla Alfatorapi dy,wtwl alftrt dy
12479,نظام المعاشات زي ما هو ما تغيرش,نِظامُ المَعاشاتِ زَيَّ ما هوَ ما تغيرشْ,niZAmu AlmaEA$Ati zay~a mA hwa mA tgyr$o,nzamu almeashat zy ma hw ma tghyrsh
12480,شيراك أول ما مسك,شيراكْ أَوَّلَ ما مِسْكَ,$yrAko >aw~ala mA misoka,shyrak awl ma msk
12481,حاول يعدل نظام المعاشات التقاعدية,حاوَلَ يَعْدِلُ نِظامُ المَعاشاتِ التَّقاعُديَّةِ,HAwala yaEodilu niZAmu AlmaEA$Ati Alt~aqAEudy~api,hawl yedlu nzamu almeashat altqaeudyt
12482, اللي عمله متران,اللّي عَمَلَهُ مِتْرانِ,All~y Eamalahu mitorAni,ally emlhu mtran
12483, ودي كانت خطوة جريئة جدا منه,وُدّيٌّ كانَتْ خُطْوَةً جَريئَةً جِدًّا مِنْهُ,wud~y~N kAnato xuTowapF jary}apF jid~FA minohu,wudy kant khutwt jryyt jda mnhu
12484,لإن الفرنسيين كانوا متعلقين,لَإِنْ الفَرَنْسيّينَ كانوا مُتَعَلِّقينَ,la<ino Alfaranosy~yna kAnwA mutaEal~iqyna,lin alfrnsyyn kanwa mutelqyn
12485,جدا بالنظام بتاع متران,جِدًّا بِالنِّظامِ بِتاعِ مِتْرانِ,jid~FA biAln~iZAmi bitAEi mitorAni,jda balnzam btae mtran
12486,وما كانش عندهم استعداد يتخلوا عنه,وَما كانِشَ عِنْدَهُمْ اسْتِعْدادٌ يَتَخَلَّوْا عَنْهُ,wamA kAni$a Einodahumo AsotiEodAdN yataxal~awoA Eanohu,wma kansh endhum astedad ytkhlwa enhu
12487,علشان كدا أول ما شيراك فكر في الموضوع,عَلَشانِ كَدا أَوَّلَ ما شيراكْ فَكَّرَ في المَوْضوعِ,Eala$Ani kadA >aw~ala mA $yrAko fak~ara fy AlmawoDwEi,elshan kda awl ma shyrak fkr fy almwdwe
12488, و عملوا إضرابات استمرت لأسابيع,وَ عَمِلوا إِضْراباتٍ اسْتَمَرَّتْ لِأَسابيعَ,wa EamilwA <iDorAbAtK Asotamar~ato li>asAbyEa,w emlwa idrabat astmrt lasabye
12489,لحد ما أجبروا شيراك في النهاية,لِحَدٌّ ما أُجْبِروا شيراكْ في النِّهايَةِ,liHad~N mA >ujobirwA $yrAko fy Aln~ihAyapi,lhd ma aujbrwa shyrak fy alnhayt
12490,إنه يتراجع عن اللي في دماغه,إِنَّهُ يَتَراجَعُ عَنْ اللّي في دِماغِهِ,<in~ahu yatarAjaEu Eano All~y fy dimAgihi,inhu ytrajeu en ally fy dmaghh
12491,ويتخلى خالص عن فكرة إنه يعدل نظام المعاشات,وَيَتَخَلَّى خالِصْ عَنْ فِكْرَةِ إِنَّهُ يَعْدِلُ نِظامَ المَعاشاتِ,wayataxal~aY xAliSo Eano fikorapi <in~ahu yaEodilu niZAma AlmaEA$Ati,wytkhla khals en fkrt inhu yedlu nzam almeashat
12492,اللي حطه متران,اللّي حَطّْهُ مِتْرانِ,All~y HaT~ohu mitorAni,ally hthu mtran
12493,شيراك تعلم الدرس,شيراكْ تَعَلُّمَ الدَّرْسِ,$yrAko taEal~uma Ald~arosi,shyrak telum aldrs
12494, وما حاولش يكرر نفس الغلطة تاني,وَما حاولشْ يُكَرِّرُ نَفْسَ الغَلْطَةِ تاني,wamA HAwl$o yukar~iru nafosa AlgaloTapi tAny,wma hawlsh yukrru nfs alghltt tany
12495,مين بقى اللي ما تعلمش الدرس ,مينْ بَقَّى اللّيَّ ما تعلمشْ الدَّرْسِ,myno baq~aY All~y~a mA tElm$o Ald~arosi,myn bqa ally ma telmsh aldrs
12496,السيد نيكولا ساركوزي,السَّيِّدُ نيكولا سارْكوزي,Als~ay~idu nykwlA sArokwzy,alsydu nykwla sarkwzy
12497, ساركوزي قرر يلعب في نظام التقاعد في فرنسا,سارْكوزي قَرَّرَ يَلْعَبُ في نِظامِ التَّقاعُدِ في فَرَنْسا,sArokwzy qar~ara yaloEabu fy niZAmi Alt~aqAEudi fy faranosA,sarkwzy qrr ylebu fy nzam altqaeud fy frnsa
12498,طبعا وكما هو متوقع,طَبْعًا وَكَما هوَ مُتَوَقَّعٌ,TaboEFA wakamA hwa mutawaq~aEN,tbea wkma hw mutwqe
12499,حصلت مظاهرات وإضرابات بالكوم في فرنسا,حَصَلَتْ مُظاهَراتُ وَإِضْراباتٍ بِالْكومْ في فَرَنْسا,HaSalato muZAharAtu wa<iDorAbAtK biAlokwmo fy faranosA,hslt muzahratu widrabat balkwm fy frnsa
12500,ضد القرار دا,ضِدَّ القَرارِ دا,Did~a AlqarAri dA,dd alqrar da
12501,كمحاولة لإجبار ساركوزي على التراجع عنه,كَمُحاوَلَةٍ لِإِجْبارِ سارْكوزي عَلَى التَّراجُعِ عَنْهُ,kamuHAwalapK li<ijobAri sArokwzy EalaY Alt~arAjuEi Eanohu,kmuhawlt lijbar sarkwzy ela altrajue enhu
12502, زي ما حصل من شيراك قبله,زَيُّ ما حَصَلَ مِنْ شيراكْ قَبْلَهُ,zay~u mA HaSala mino $yrAko qabolahu,zyu ma hsl mn shyrak qblhu
12503,ولكن ساركوزي ركب دماغه,وَلَكِنْ سارْكوزي رَكِبَ دِماغَهُ,walakino sArokwzy rakiba dimAgahu,wlkn sarkwzy rkb dmaghhu
12504, وصمم على تنفيذ الإصلاح دا,وَصُمِّمَ عَلَى تَنْفيذِ الإِصْلاحِ دا,waSum~ima EalaY tanofy*i Al<iSolAHi dA,wsumm ela tnfydh alislah da
12505,رغم الاحتجاجات الشعبية,رَغْمَ الِاحْتِجاجاتِ الشَّعْبيَّةِ,ragoma AliAHotijAjAti Al$~aEoby~api,rghm alahtjajat alshebyt
12506, قدام فرنسوا أولاند وخسرها,قُدّامَ فِرَنْسوا أولاندْ وَخَسِرْها,qud~Ama firanoswA >wlAndo waxasirohA,qudam frnswa awland wkhsrha
12507,الحركة بتاعت تعديل نظام المعاشات,الحَرَكَةُ بِتاعتَ تَعْديلُ نِظامِ المَعاشاتِ,AlHarakapu bitAEta taEodylu niZAmi AlmaEA$Ati,alhrktu btaet tedylu nzam almeashat
12508, من خلال رفع سن التقاعد,مِنْ خِلالِ رَفْعِ سِنِّ التَّقاعُدِ,mino xilAli rafoEi sin~i Alt~aqAEudi,mn khlal rfe sn altqaeud
12509,دمرت شعبيته,دَمَّرتْ شَعْبيَّتَهُ,dam~arto $aEoby~atahu,dmrt shebythu
12510,وأولاند لعب على النقطة دي بذكاء,وأولاندْ لَعِبَ عَلَى النُّقْطَةِ دي بِذَكاءٍ,w>wlAndo laEiba EalaY Aln~uqoTapi dy bi*akA'K,wawland leb ela alnuqtt dy bdhkae
12511,في الحملة الانتخابية بتاعته قصاد ساركوزي,في الحَمْلَةِ الِانْتِخابيَّةِ بِتاعِتُهُ قِصادَ سارْكوزي,fy AlHamolapi AliAnotixAby~api bitAEituhu qiSAda sArokwzy,fy alhmlt alantkhabyt btaetuhu qsad sarkwzy
12512,باختصار وعد بعض الفئات العمالية,بِاخْتِصارٍ وَعَدَ بَعْضُ الفِئاتِ العُمّاليَّةِ,biAxotiSArK waEada baEoDu Alfi}Ati AlEum~Aly~api,bakhtsar wed bedu alfyat aleumalyt
12513,إنه هيقلل الحد الأدنى لسن التقاعد بتاعهم,إِنَّهُ هيقللْ الحَدِّ الأَدْنَى لِسَنَّ التَّقاعُدِ بِتاعِهِمْ,<in~ahu hyqllo AlHad~i Al>adonaY lisan~a Alt~aqAEudi bitAEihimo,inhu hyqll alhd aladna lsn altqaeud btaehm
12514,هيفضل زي ما هو مطبق على الكل,هيفضلْ زَيِّ ما هوَ مُطْبِقٌ عَلَى الكُلِّ,hyfDlo zay~i mA hwa muTobiqN EalaY Alkul~i,hyfdl zy ma hw mutbq ela alkul
12515,كل الحكاية إن أولاند,كُلُّ الحِكايَةِ إِنَّ أولاندْ,kul~u AlHikAyapi <in~a >wlAndo,kulu alhkayt in awland
12516, وعد إنه هيعمل استثناء لبعض الفئات,وَعَدَّ إِنَّهُ هيعملْ اسْتِثْناءٍ لِبَعْضِ الفِئاتِ,waEad~a <in~ahu hyEmlo AsotivonA'K libaEoDi Alfi}Ati,wed inhu hyeml astthnae lbed alfyat
12517, بعدها بأيام وتحديدا في بداية يونيو,بَعْدَها بِأَيّامٍ وَتَحْديدًا في بِدايَةِ يونْيو,baEodahA bi>ay~AmK wataHodydFA fy bidAyapi ywnoyw,bedha bayam wthdyda fy bdayt ywnyw
12518,كان منفذ الوعد دا,كانَ مَنْفَذُ الوَعْدِ دا,kAna manofa*u AlwaEodi dA,kan mnfdhu alwed da
12519,رغم إنه عارف إن قرار شبه دا,رَغْمَ إِنَّهُ عارِفٌ إِنَّ قَرارَ شِبْهِ دا,ragoma <in~ahu EArifN <in~a qarAra $ibohi dA,rghm inhu earf in qrar shbh da
12520, حيكون عبء مالي على ميزانية الرعاية الاجتماعية,حْيِكونَ عِبْءٌ ماليٌّ عَلَى ميزانيَّةِ الرِّعايَةِ الِاجْتِماعيَّةِ,Hoyikwna Eibo'N mAly~N EalaY myzAny~api Alr~iEAyapi AliAjotimAEy~api,hykwn ebe maly ela myzanyt alreayt alajtmaeyt
12521,لكنه عشان يريح ضميره,لَكِنَّهُ عَشانْ يُريحُ ضَميرَهُ,lakin~ahu Ea$Ano yuryHu Damyrahu,lknhu eshan yuryhu dmyrhu
12522,عمل تعديل في نظام المعاشات الفرنسي,عَمَلَ تَعْديلٍ في نِظامِ المَعاشاتِ الفَرَنْسيِّ,Eamala taEodylK fy niZAmi AlmaEA$Ati Alfaranosy~i,eml tedyl fy nzam almeashat alfrnsy
12523,في الوقت دا كان القانون بيقول,في الوَقْتِ دا كانَ القانونُ بيَقولُ,fy Alwaqoti dA kAna AlqAnwnu byaqwlu,fy alwqt da kan alqanwnu byqwlu
12524,إن الموظف سواء في القطاع الحكومي أو الخاص,إِنَّ الموَظَّفَ سَواءٌ في القِطاعِ الحُكوميِّ أَوْ الخاصِّ,<in~a AlmwaZ~afa sawA'N fy AlqiTAEi AlHukwmy~i >awo AlxAS~i,in almwzf swae fy alqtae alhukwmy aw alkhas
12525,لازم يكون شغال وبيدفع تأمينات,لازِمْ يَكونُ شَغّالٌ وَبيَدْفَعْ تَّأْميناتُ,lAzimo yakwnu $ag~AlN wabyadofaEo t~a>omynAtu,lazm ykwnu shghal wbydfe tamynatu
12526,علشان لما يتقاعد ياخد معاش كامل,عَلَشانٌ لِما يَتَقاعَدَ ياخُدْ مَعاشٍ كامِلٍ,Eala$AnN limA yataqAEada yAxudo maEA$K kAmilK,elshan lma ytqaed yakhud meash kaml
12527,وأنت مشترك مع المعاشات,وَأَنْتَ مُشْتَرَكٌ مَعَ المَعاشاتِ,wa>anota mu$otarakN maEa AlmaEA$Ati,want mushtrk me almeashat
12528, مش هتاخد معاش كامل,مَشْ هتاخدْ مَعاشٍ كامِلٍ,ma$o htAxdo maEA$K kAmilK,msh htakhd meash kaml
12529,إنه يرفع الحد الأدنى لفترة الاشتراك مع المعاشات,إِنَّهُ يَرْفَعُ الحَدَّ الأَدْنَى لِفَتْرَةِ الِاشْتِراكِ مَعَ المَعاشاتِ,<in~ahu yarofaEu AlHad~a Al>adonaY lifatorapi AliA$otirAki maEa AlmaEA$Ati,inhu yrfeu alhd aladna lftrt alashtrak me almeashat
12530, علشان الموظف يستحق معاش كامل في النهاية,عَلَشانِ الموَظَّفِ يَسْتَحِقُّ مَعاشٌ كامِلٌ في النِّهايَةِ,Eala$Ani AlmwaZ~afi yasotaHiq~u maEA$N kAmilN fy Aln~ihAyapi,elshan almwzf ysthqu meash kaml fy alnhayt
12531,والقرار دا كان المفروض يتطبق بالتدريج,والْقَرارُ دا كانَ المَفْروضُ يَتَطَبَّقُ بِالتَّدْريجِ,wAloqarAru dA kAna AlmaforwDu yataTab~aqu biAlt~adoryji,walqraru da kan almfrwdu yttbqu baltdryj
12532,طبعا أولاند ما لحقش ينفذ الكلام دا بنفسه,طَبْعًا أولاندْ ما لحقشْ يَنْفُذُ الكَلامُ دا بِنَفْسِهِ,TaboEFA >wlAndo mA lHq$o yanofu*u AlkalAmu dA binafosihi,tbea awland ma lhqsh ynfudhu alklamu da bnfsh
12533,لإنه خاف يترشح لدورة رئاسية تانية,لِإِنّْهُ خافَ يَتَرَشَّحُ لِدَوْرَةٍ رِئاسيَّةٍ تانيةْ,li<in~ohu xAfa yatara$~aHu lidaworapK ri}Asy~apK tAnypo,linhu khaf ytrshhu ldwrt ryasyt tanyt
12534,بعد ما استطلاعات الرأي,بَعْدَ ما اسْتِطْلاعاتُ الرَّأْيَ,baEoda mA AsotiTolAEAtu Alr~a>oya,bed ma asttlaeatu alray
12535, وضحت إنه هيخسر في أول جولة,وَضَّحتْ إِنَّهُ هيخسرْ في أَوَّلِ جَوْلَةٍ,waD~aHto <in~ahu hyxsro fy >aw~ali jawolapK,wdht inhu hykhsr fy awl jwlt
12536,واللي كسبها إيمانويل ماكرون,واللّي كَسْبَها إيمانويلْ ماكَرونَ,wAll~y kasobahA <ymAnwylo mAkarwna,wally ksbha iymanwyl makrwn
12537,أثناء الحملة الانتخابية ماكرون قال للفرنسيين,أَثْناءَ الحَمْلَةِ الِانْتِخابيَّةِ ماكَرونَ قالَ لِلْفَرَنْسيّينَ,>avonA'a AlHamolapi AliAnotixAby~api mAkarwna qAla lilofaranosy~yna,athnae alhmlt alantkhabyt makrwn qal llfrnsyyn
12538,إنه ناوي يعمل إصلاحات كبيرة,إِنَّهُ ناويُ يَعْمَلُ إِصْلاحاتٍ كَبيرَةٍ,<in~ahu nAwyu yaEomalu <iSolAHAtK kabyrapK,inhu nawyu yemlu islahat kbyrt
12539, في نظام المعاشات التقاعدية,في نِظامِ المَعاشاتِ التَّقاعُديَّةِ,fy niZAmi AlmaEA$Ati Alt~aqAEudy~api,fy nzam almeashat altqaeudyt
12540,وعلى الرغم من إن الاقتراب,وَعَلَى الرَّغْمِ مِنْ إِنَّ الِاقْتِرابَ,waEalaY Alr~agomi mino <in~a AliAqotirAba,wela alrghm mn in alaqtrab
12541,من نظام المعاشات في فرنسا,مِنْ نِظامِ المَعاشاتِ في فَرَنْسا,mino niZAmi AlmaEA$Ati fy faranosA,mn nzam almeashat fy frnsa
12542,يعتبر من المحرمات بالنسبة للشعب الفرنسي,يُعْتَبَرُ مِنْ المُحَرَّماتِ بِالنِّسْبَةِ لِلشَّعْبِ الفَرَنْسيِّ,yuEotabaru mino AlmuHar~amAti biAln~isobapi lil$~aEobi Alfaranosy~i,yuetbru mn almuhrmat balnsbt llsheb alfrnsy
12543,إلا إن دا ما أثرش,إِلّا إِنْ دا ما أثرشْ,<il~A <ino dA mA >vr$o,ila in da ma athrsh
12544,على حظوظه في الانتخابات الرئاسية,عَلَى حُظوظِهِ في الِانْتِخاباتِ الرِّئاسيَّةِ,EalaY HuZwZihi fy AliAnotixAbAti Alr~i}Asy~api,ela huzwzh fy alantkhabat alryasyt
12545, اللي كسبها بفارق معتبر,اللّي كَسْبَها بِفارِقٍ مُعْتَبَرٍ,All~y kasobahA bifAriqK muEotabarK,ally ksbha bfarq muetbr
12546,بعد ما فاز على اليمينية مارين لوبان بسهولة,بَعْدَ ما فازَ عَلَى اليَمينيَّةِ مارينْ لوبانْ بِسُهولَةٍ,baEoda mA fAza EalaY Alyamyny~api mAryno lwbAno bisuhwlapK,bed ma faz ela alymynyt maryn lwban bsuhwlt
12547,المهم بعد ما ماكرون دخل الإليزيه بسنتين ونص تقريبا,المُهِمُّ بَعْدَ ما ماكَرونَ دَخَلَ الإِليزيهْ بِسَنَتَيْنِ وَنَصَّ تَقْريبًا,Almuhim~u baEoda mA mAkarwna daxala Al<ilyzyho bisanatayoni wanaS~a taqorybFA,almuhmu bed ma makrwn dkhl alilyzyh bsntyn wns tqryba
